Studiokürzel,Regionalleitung,Stadt,Strasse + HNr,Rating,TotalReviews,NewReviews
AC1,REK,Aachen,Holzgraben 17,4.5,188,1
A1,SAW,Augsburg,Schaezlerstrasse 2,4.4,208,1
B1,JOS,Berlin,Meinekestraße 26,4.4,139,1
B2,JOS,Berlin,Monbijouplatz 3,4.5,182,0
B3,JOS,Berlin,Kollwitzstraße 28,4.7,124,0
B4,JOS,Berlin,Rheinstrasse 45,4.7,144,0
BO1,ISP,Bochum,Grabenstraße 1-3,4.5,217,0
BN1,CST,Bonn,Stockenstraße 4,4.3,174,0
BS1,JOS,Braunschweig,Münzstraße 15,4.7,223,0
HB1,JOS,Bremen,Knochenhauerstraße 26,4.3,170,0
DO1,ISP,Dortmund,Freistuhl 3,4.7,278,0
D1,ISP,Düsseldorf,Graf-Adolf-Platz 9,4.6,179,0
D2,ISP,Düsseldorf,Nordstraße 8,4.5,184,0
D3,ISP,Düsseldorf,Am Wehrhahn 2,4.6,262,0
E1,MOM,Essen,Kapuzinergasse 2,4.6,229,0
E2,MOM,Essen,Rüttenscheider Str. 171,4.7,359,0
F1,ISP,Frankfurt,Leipziger Straße 8,4.7,230,0
F2,ISP,Frankfurt,Habsburgerallee 1,4.5,204,0
F3,ISP,Frankfurt,Oeder Weg 43,4.4,134,0
F4,ISP,Frankfurt,Gartenstraße 19,4.5,182,0
FR1,ANI,Freiburg,Habsburgerstrasse 129,4.4,136,0
HH3,CST,Hamburg,Eppendorfer Landstr. 27,4.6,103,0
HH4,CST,Hamburg,Dornbusch 2,4.5,106,0
HH5,CST,Hamburg,Schanzenstrasse 60,4.5,77,0
H1,JOS,Hannover,Lange Laube 1a,4.6,151,0
H2,JOS,Hannover,Lister Meile 27,4.5,138,0
K1,REK,Köln,Venloer Straße 317,4.4,175,0
K2,REK,Köln,Benesisstr. 50,4.7,196,0
K3,REK,Köln,Ebertplatz 3-5,4.6,146,0
K4,REK,Köln,Bonner Strasse 24,4.6,164,0
K5,REK,Köln,Berrenratherstr. 280,4.6,112,0
L1,JOS,Leipzig,Städtisches Kaufhaus Kupfergasse 1,4.9,444,0
MZ1,ANI,Mainz,Steingasse 9,4.4,194,0
MA1,ANI,Mannheim,"Q4, 18",4.7,163,0
M1,SAW,München,Herzogspitalstraße 5,4.5,112,0
M2,SAW,München,Klenzestraße 32,4.3,133,0
M3,SAW,München,Pariser Platz 2,4.3,179,0
M4,SAW,München,Schellingstrasse 102,4.0,174,0
M5,SAW,München,Kurfürstenstraße 69,4.3,100,0
M6,SAW,München,Türkenstraße 27,4.7,106,0
MS1,JOS,Münster,Aegidiistraße 55,4.1,138,0
MS2,JOS,Münster,Mauritzstr. 4-6,4.1,119,0
OS1,JOS,Osnabrück,Kamp 83,4.4,156,0
S1,ANI,Stuttgart,Marienstrasse 36b,4.5,170,0
S2,ANI,Stuttgart,Hirschstraße 8,4.8,221,0
S3,ANI,Stuttgart,Büchsenstraße 26b,4.4,182,0
AT1,DED,Wien,Alserstraße 43,4.6,267,0
AT2,DED,Wien,Landstraßer Hauptstraße 104,4.8,223,1
AT3,DED,Wien,Barnabitengasse 10,4.7,326,0
AT4,DED,Wien,Wollzeile 30,4.7,182,0
WI1,ANI,Wiesbaden,Michelsberg 3,4.3,160,0
